%time,field.x,field.y,field.z
1544964835526673521,1.58508574963,1.49817442894,0.623637259007
1544964835654605657,1.59777140617,1.49776208401,0.621421575546
1544964835941697193,1.57079994678,1.51333403587,0.589569807053
1544964836086665723,1.76177144051,1.38244044781,0.854447305202
1544964836229864978,1.63030004501,1.48592638969,0.643238127232
1544964836373984381,1.65635716915,1.47088229656,0.674472928047
1544964836517381257,1.63582861423,1.50135815144,0.626985967159
1544964836660990959,1.4249714613,1.62309658527,0.357891082764
1544964836804478652,1.64289999008,1.49026477337,0.652387499809
1544964836948344403,1.70729994774,1.43916106224,0.758984684944
1544964837092800692,1.6140999794,1.5351331234,0.544382691383
1544964837236797413,1.63355720043,1.44750785828,0.749191522598
1544964837381626999,1.79130005836,1.39066362381,0.855979502201
1544964837523794009,1.59640002251,1.51711153984,0.5964230299
1544964837667579572,1.62812852859,1.51992404461,0.581783294678
1544964837810888296,1.59392857552,1.47716712952,0.692120730877
1544964837954389745,1.72577142715,1.42849647999,0.780313611031
1544964838100036001,1.57912862301,1.49937045574,0.644483268261
1544964838243049130,1.58964288235,1.52101278305,0.588255286217
1544964838386554820,1.77434289455,1.43550717831,0.765815615654
1544964838531903643,1.76177144051,1.38707578182,0.861926794052
1544964838673786158,1.56142854691,1.4891513586,0.673149883747
1544964838962326044,1.54761433601,1.55228865147,0.517503738403
1544964839105741871,1.58285713196,1.52493047714,0.58004295826
1544964839249359397,1.55984282494,1.55934882164,0.492116421461
1544964839393051855,1.5867856741,1.55550539494,0.521426677704
1544964839538018069,1.71964287758,1.43663716316,0.781727492809
1544964839680557947,1.74401426315,1.41565465927,0.823142647743
1544964839825055921,1.72531425953,1.45673716068,0.720550239086
1544964839968975053,1.40999996662,1.63174033165,0.337307691574
1544964840112283008,1.71434283257,1.39623093605,0.828210234642
1544964840256901463,1.61234283447,1.47555887699,0.671210348606
1544964840399643691,1.57319998741,1.4913122654,0.643483042717
1544964840543227672,1.56315720081,1.52469134331,0.562177836895
1544964840686656529,1.59914290905,1.48317980766,0.656262397766
1544964840830340802,1.59982860088,1.47593820095,0.673011958599
1544964840974777576,1.41571426392,1.60059642792,0.445034563541
